course,par,yardage,yardage_4_5,yardage_3,adj_score_to_par,adj_par_3_score,adj_par_4_score,adj_par_5_score,adj_driving_distance,adj_sd_distance,adj_driving_accuracy,putt_sg,arg_sg,app_sg,ott_sg
"Pebble Beach Golf Links (U.S. Open)",71,7003,450,176,1.61,0.11,0.15,-0.16,270.2,17.9,0.6493,-0.001,-0.048,-0.047,-0.048
"Conway Farms GC",71,6987,445,191,-0.81,0.11,-0.02,-0.34,281,19.9,0.5999,0.005,0.005,0.011,0.012
"Sherwood Country Club",72,6986,464,192,-2.11,0.05,-0.04,-0.4,276.3,17.5,0.7204,0.017,0.021,0.007,-0.034
"Harbour Town Golf Links",71,6980,446,184,-0.21,0.12,0.03,-0.35,276.2,19.3,0.617,0,0.042,-0.027,-0.052
"TPC Four Seasons Resort",70,6978,446,183,-0.01,0.02,0.06,-0.4,284.9,17.9,0.5711,0,-0.006,0.016,-0.014
"Sedgefield Country Club",70,6958,442,192,-1.15,-0.02,0,-0.56,286.1,18.4,0.6201,-0.009,-0.038,0.068,0.02
"Hamilton Golf &amp; Country Club",70,6925,437,204,-0.3,0.1,0.02,-0.46,289.7,17.8,0.5562,-0.01,0.002,0.009,0.006
"Austin Country Club",71,6899,449,179,-2.09,0,-0.07,-0.52,300.8,21.4,0.5859,0.005,0.016,0.012,0.035
"Pebble Beach Golf Links",72,6891,444,170,-0.75,0.06,0.02,-0.3,273.1,17.9,0.6863,-0.015,0.031,-0.04,-0.028
"Sea Island Golf Club (Seaside Course)",70,6883,436,195,-1.22,0,-0.03,-0.43,281.7,15.9,0.6986,0.005,0.024,0.027,-0.006
"PGA West (Palmer)",72,6844,460,173,-1.98,0.03,0.05,-0.51,277.8,15,0.6311,-0.001,0.045,-0.021,-0.012
"Plainfield CC",70,6829,438,175,1.05,0.07,0.1,-0.21,282.2,21.7,0.5511,-0.013,-0.036,-0.014,-0.015
"TPC River Highlands",70,6800,432,188,-0.53,0.02,0,-0.29,284.5,19,0.6454,0.002,-0.058,0.013,-0.006
